Frame	Brake	GazeX	GazeY
10406	0	579	109
10407	0	563	108
10408	0	563	109
10409	0	578	103
10410	0	581	103
10411	0	570	109
10412	0	577	107
10413	0	567	110
10414	0	556	113
10415	0	572	108
10416	0	561	110
10417	0	540	108
10418	0	527	115
10419	0	447	122
10420	0	449	124
10421	0	452	129
10422	0	447	131
10423	0	455	130
10424	0	453	128
10425	0	538	116
10426	0	578	111
10427	0	575	109
10428	0	572	106
10429	0	579	115
10430	0	583	109
10431	0	566	113
10432	0	577	112
10433	0	580	111
10434	0	580	117
10435	0	570	109
10436	0	570	107
10437	0	579	105
10438	0	584	109
10439	0	569	104
10440	0	569	115
10441	0	574	113
10442	0	539	104
10443	0	520	110
10444	0	443	115
10445	0	455	120
10446	0	452	131
10447	0	446	126
10448	0	445	127
10449	0	446	129
10450	0	449	129
10451	0	453	125
10452	0	442	130
10453	0	444	131
10454	0	439	130
10455	0	437	123
10456	0	-1	-1
10457	0	373	148
10458	0	398	155
10459	0	380	154
10460	0	342	150
10461	0	347	157
10462	0	321	158
10463	0	320	163
10464	0	328	161
10465	0	343	160
10466	0	321	168
10467	0	318	163
10468	0	315	164
10469	0	337	148
10470	0	-1	-1
10471	0	451	126
10472	0	462	137
10473	0	458	135
10474	0	468	134
10475	0	469	132
10476	0	460	134
10477	0	455	139
10478	0	449	136
10479	0	451	138
10480	0	450	138
10481	0	453	143
10482	0	455	140
10483	0	464	145
10484	0	443	139
10485	0	457	139
10486	0	464	139
10487	0	462	137
10488	0	453	136
10489	0	382	137
10490	0	328	146
10491	0	336	140
10492	0	343	147
10493	0	348	138
10494	0	353	137
10495	0	341	132
10496	0	357	133
10497	0	336	134
10498	0	348	135
10499	0	365	126
10500	0	452	129
10501	0	456	132
10502	0	460	133
10503	0	462	139
10504	0	464	135
10505	0	464	135
10506	0	469	139
10507	0	462	138
10508	0	410	133
10509	0	408	134
10510	0	405	132
10511	0	409	136
10512	0	419	138
10513	0	415	133
10514	0	460	138
10515	0	459	136
10516	0	466	132
10517	0	466	135
10518	0	462	137
10519	0	460	138
10520	0	456	137
10521	0	456	139
10522	0	456	134
10523	0	459	136
10524	0	451	134
10525	0	462	136
10526	0	453	132
10527	0	450	136
10528	0	450	137
10529	0	455	137
10530	0	450	132
10531	0	451	137
10532	0	437	139
10533	0	440	135
10534	0	437	134
10535	0	447	134
10536	0	445	135
10537	0	445	135
10538	0	442	135
10539	0	443	136
10540	0	441	133
10541	0	442	136
10542	0	443	135
10543	0	441	138
10544	0	447	134
10545	0	444	136
10546	0	433	135
10547	0	445	135
10548	0	447	137
10549	0	451	136
10550	0	444	135
10551	0	446	132
10552	0	449	136
10553	0	452	135
10554	0	443	138
10555	0	450	132
10556	0	449	134
10557	0	447	135
10558	0	443	133
10559	0	443	130
10560	0	436	127
10561	0	454	133
10562	0	453	131
10563	0	453	128
10564	0	455	137
10565	0	450	132
10566	0	452	136
10567	0	455	135
10568	0	457	134
10569	0	458	134
10570	0	459	134
10571	0	455	132
10572	0	455	138
10573	0	468	139
10574	0	463	137
10575	0	465	133
10576	0	464	137
10577	0	463	137
10578	0	467	137
10579	0	463	137
10580	0	449	129
10581	0	452	135
10582	0	452	134
10583	0	452	135
10584	0	454	130
10585	0	491	130
10586	0	468	134
10587	0	450	132
10588	0	450	129
10589	0	455	129
10590	0	481	125
10591	0	557	118
10592	0	586	122
10593	0	578	123
10594	0	578	121
10595	0	586	111
10596	0	582	112
10597	0	563	124
10598	0	567	115
10599	0	-1	-1
10600	0	447	123
10601	0	448	124
10602	0	448	127
10603	0	454	129
10604	0	451	128
10605	0	454	127
10606	0	454	129
10607	0	455	131
10608	0	452	131
10609	0	451	128
10610	0	456	132
10611	0	455	128
10612	0	449	131
10613	0	458	132
10614	0	446	131
10615	0	450	131
10616	0	449	131
10617	0	455	133
10618	0	465	136
10619	0	460	134
10620	0	458	133
10621	0	466	132
10622	0	457	126
10623	0	435	129
10624	0	457	131
10625	0	457	131
10626	0	461	134
10627	0	474	131
10628	0	561	121
10629	0	588	119
10630	0	590	120
10631	0	574	121
10632	0	592	120
10633	0	590	121
10634	0	586	121
10635	0	593	122
10636	0	579	115
10637	0	540	125
10638	0	-1	-1
10639	0	470	127
10640	0	457	129
10641	0	460	129
10642	0	463	130
10643	0	460	132
10644	0	458	134
10645	0	454	132
10646	0	457	133
10647	0	460	134
10648	0	450	134
10649	0	459	136
10650	0	458	137
10651	0	460	134
10652	0	467	130
10653	0	456	134
10654	0	464	134
10655	0	463	135
10656	0	463	138
10657	0	460	134
10658	0	463	136
10659	0	427	126
10660	0	394	128
10661	0	352	123
10662	0	369	133
10663	0	357	144
10664	0	354	135
10665	0	359	145
10666	0	334	136
10667	0	360	133
10668	0	375	133
10669	0	377	133
10670	0	399	127
10671	0	455	119
10672	0	461	115
10673	0	466	127
10674	0	476	133
10675	0	479	132
10676	0	475	135
10677	0	471	130
10678	0	466	132
10679	0	425	123
10680	0	419	125
10681	0	415	132
10682	0	411	130
10683	0	410	128
10684	0	406	128
10685	0	408	126
10686	0	416	131
10687	0	415	134
10688	0	422	127
10689	0	429	121
10690	0	-1	-1
10691	0	471	127
10692	0	475	128
10693	0	476	130
10694	0	482	129
10695	0	475	128
10696	0	469	132
10697	0	474	132
10698	0	473	134
10699	0	476	133
10700	0	471	147
10701	0	437	180
10702	0	428	182
10703	0	429	188
10704	0	420	189
10705	0	429	191
10706	0	433	194
10707	0	424	189
10708	0	430	191
10709	0	446	178
10710	0	452	195
10711	0	430	200
10712	0	429	195
10713	0	436	194
10714	0	443	191
10715	0	402	179
10716	0	-1	-1
10717	0	-1	-1
10718	0	453	123
10719	0	469	125
10720	0	474	130
10721	0	470	131
10722	0	474	130
10723	0	473	130
10724	0	478	127
10725	0	474	128
10726	0	499	120
10727	0	580	113
10728	0	589	112
10729	0	590	112
10730	0	592	113
10731	0	581	106
10732	0	588	116
10733	0	511	97
10734	0	447	105
10735	0	457	114
10736	0	461	124
10737	0	460	126
10738	0	464	125
10739	0	463	126
10740	0	464	129
10741	0	461	156
10742	0	453	154
10743	0	448	150
10744	0	450	156
10745	0	452	152
10746	0	463	157
10747	0	458	158
10748	0	471	157
10749	0	459	158
10750	0	466	158
10751	0	460	157
10752	0	451	157
10753	0	444	158
10754	0	443	159
10755	0	443	148
10756	0	445	155
10757	0	447	155
10758	0	440	158
10759	0	453	156
10760	0	460	136
10761	0	480	127
10762	0	482	130
10763	0	486	127
10764	0	479	129
10765	0	481	129
10766	0	483	129
10767	0	484	128
10768	0	481	128
10769	0	481	128
10770	0	485	133
10771	0	489	127
10772	0	493	128
10773	0	492	127
10774	0	482	129
10775	0	488	131
10776	0	484	129
10777	0	482	129
10778	0	485	128
10779	0	480	127
10780	0	481	126
10781	0	468	133
10782	0	434	152
10783	0	437	154
10784	0	441	154
10785	0	444	153
10786	0	436	157
10787	0	432	152
10788	0	427	152
10789	0	429	151
10790	0	443	154
10791	0	437	157
10792	0	444	155
10793	0	436	149
10794	0	439	155
10795	0	431	155
10796	0	420	137
10797	0	500	118
10798	0	458	119
10799	0	465	122
10800	0	479	126
10801	0	473	126
10802	0	480	124
10803	0	474	128
10804	0	482	129
10805	0	482	127
10806	0	477	126
10807	0	481	127
10808	0	479	127
10809	0	476	127
10810	0	480	128
10811	0	479	130
10812	0	489	125
10813	0	490	128
10814	0	492	126
10815	0	494	130
10816	0	492	125
10817	0	488	127
10818	0	496	127
10819	0	490	130
10820	0	492	128
10821	0	490	128
10822	0	503	128
10823	0	471	139
10824	0	450	155
10825	0	452	157
10826	0	452	158
10827	0	449	158
10828	0	438	161
10829	0	425	156
10830	0	432	156
10831	0	420	152
10832	0	430	154
10833	0	431	153
10834	0	430	153
10835	0	434	155
10836	0	437	152
10837	0	441	154
10838	0	436	148
10839	0	502	124
10840	0	469	117
10841	0	469	124
10842	0	477	126
10843	0	476	122
10844	0	475	133
10845	0	479	127
10846	0	482	129
10847	0	486	127
10848	0	485	129
10849	0	475	128
10850	0	479	128
10851	0	479	120
10852	0	473	120
10853	0	496	139
10854	0	407	139
10855	0	431	145
10856	0	443	154
10857	0	430	152
10858	0	434	152
10859	0	424	152
10860	0	430	153
10861	0	429	151
10862	0	431	152
10863	0	428	153
10864	0	442	153
10865	0	432	151
10866	0	446	143
10867	0	471	124
10868	0	475	126
10869	0	475	126
10870	0	476	129
10871	0	480	123
10872	0	477	127
10873	0	476	123
10874	0	472	121
10875	0	455	134
10876	0	401	144
10877	0	422	149
10878	0	428	150
10879	0	441	153
10880	0	435	151
10881	0	428	155
10882	0	432	151
10883	0	445	157
10884	0	433	151
10885	0	439	155
10886	0	442	152
10887	0	488	123
10888	0	555	103
10889	0	603	116
10890	0	580	118
10891	0	599	114
10892	0	597	112
10893	0	607	112
10894	0	613	110
10895	0	608	112
10896	0	612	111
10897	0	612	107
10898	0	609	109
10899	0	589	105
10900	0	-1	-1
10901	0	494	115
10902	0	456	119
10903	0	466	124
10904	0	460	125
10905	0	463	124
10906	0	461	124
10907	0	406	135
10908	0	356	149
10909	0	395	151
10910	0	415	149
10911	0	363	166
10912	0	337	160
10913	0	408	162
10914	0	363	161
10915	0	335	152
10916	0	335	171
10917	0	339	147
10918	0	-1	-1
10919	0	-1	-1
10920	0	415	144
10921	0	418	153
10922	0	412	152
10923	0	418	167
10924	0	440	159
10925	0	444	156
10926	0	441	154
10927	0	462	165
10928	0	423	161
10929	0	444	170
10930	0	423	163
10931	0	446	164
10932	0	444	171
10933	0	450	164
10934	0	456	137
10935	0	476	134
10936	0	478	132
10937	0	480	130
10938	0	471	127
10939	0	472	128
10940	0	477	127
10941	0	471	127
10942	0	465	125
10943	0	469	125
10944	0	470	132
10945	0	477	125
10946	0	470	131
10947	0	474	127
10948	0	483	125
10949	0	481	127
10950	0	481	124
10951	0	484	128
10952	0	473	124
10953	0	446	127
10954	0	409	127
10955	0	434	142
10956	0	434	146
10957	0	435	150
10958	0	419	141
10959	0	426	145
10960	0	425	142
10961	0	431	152
10962	0	437	149
10963	0	426	142
10964	0	447	151
10965	0	431	154
10966	0	449	154
10967	0	436	147
10968	0	444	150
10969	0	450	155
10970	0	437	152
10971	0	437	152
10972	0	408	144
10973	0	486	114
10974	0	469	122
10975	0	477	126
10976	0	478	128
10977	0	472	128
10978	0	478	127
10979	0	486	125
10980	0	484	129
10981	0	479	126
10982	0	489	130
10983	0	484	127
10984	0	486	126
10985	0	488	125
10986	0	480	124
10987	0	366	119
10988	0	398	137
10989	0	415	146
10990	0	426	145
10991	0	427	147
10992	0	438	148
10993	0	431	153
10994	0	440	149
10995	0	441	147
10996	0	447	153
10997	0	441	146
10998	0	439	150
10999	0	437	150
11000	0	444	154
11001	0	444	151
11002	0	441	150
11003	0	469	132
11004	0	451	109
11005	0	471	124
11006	0	478	122
11007	0	482	123
11008	0	482	123
11009	0	477	130
11010	0	479	125
11011	0	478	127
11012	0	480	125
11013	0	482	128
11014	0	478	125
11015	0	479	126
11016	0	485	127
11017	0	480	125
11018	0	478	126
11019	0	479	127
11020	0	539	115
11021	0	591	108
11022	0	597	107
11023	0	592	110
11024	0	600	108
11025	0	605	111
11026	0	603	106
11027	0	599	101
11028	0	609	113
11029	0	602	106
11030	0	602	108
11031	0	603	106
11032	0	596	106
11033	0	586	101
11034	0	486	100
11035	0	466	114
11036	0	458	117
11037	0	466	119
11038	0	466	122
11039	0	473	123
11040	0	474	127
11041	0	476	123
11042	0	466	123
11043	0	471	123
11044	0	472	124
11045	0	474	122
11046	0	471	126
11047	0	473	122
11048	0	472	122
11049	0	475	120
11050	0	429	108
11051	0	486	115
11052	0	464	114
11053	0	466	116
11054	0	467	122
11055	0	516	138
11056	0	567	164
11057	0	559	161
11058	0	573	171
11059	0	582	168
11060	0	616	182
11061	0	635	182
11062	0	631	162
11063	0	605	184
11064	0	630	183
11065	0	627	168
11066	0	622	171
11067	0	636	161
11068	0	665	161
11069	0	661	171
11070	0	681	165
11071	0	634	173
11072	0	647	178
11073	0	637	163
11074	0	-1	-1
11075	0	-1	-1
11076	0	484	106
11077	0	474	119
11078	0	470	126
11079	0	464	131
11080	0	474	129
11081	0	472	129
11082	0	465	123
11083	0	463	122
11084	0	463	126
11085	0	462	123
11086	0	462	123
11087	0	464	125
11088	0	464	122
11089	0	466	127
11090	0	466	123
11091	0	464	122
11092	0	460	126
11093	0	467	125
11094	0	459	122
11095	0	460	122
11096	0	461	120
11097	0	477	109
11098	0	472	120
11099	0	456	116
11100	0	459	118
11101	0	458	121
11102	0	458	121
11103	0	457	125
11104	0	465	121
11105	0	460	128
11106	0	463	121
11107	0	460	122
11108	0	460	123
11109	0	456	124
11110	0	459	125
11111	0	458	124
11112	0	462	123
11113	0	451	137
11114	0	445	144
11115	0	442	143
11116	0	441	139
11117	0	421	145
11118	0	428	154
11119	0	421	148
11120	0	423	146
11121	0	418	144
11122	0	428	145
11123	0	421	146
11124	0	425	140
11125	0	423	145
11126	0	426	146
11127	0	431	130
11128	0	446	107
11129	0	462	123
11130	0	462	128
11131	0	464	126
11132	0	462	127
11133	0	461	130
11134	0	437	152
11135	0	437	147
11136	0	433	152
11137	0	431	146
11138	0	442	156
11139	0	438	151
11140	0	424	147
11141	0	430	155
11142	0	435	153
11143	0	419	147
11144	0	430	143
11145	0	424	146
11146	0	414	137
11147	0	459	122
11148	0	407	102
11149	0	450	116
11150	0	450	120
11151	0	449	120
11152	0	449	120
11153	0	450	120
11154	0	460	119
11155	0	450	120
11156	0	451	121
11157	0	458	121
11158	0	451	121
11159	0	455	119
11160	0	450	123
11161	0	454	118
11162	0	462	115
11163	0	463	116
11164	0	460	115
11165	0	484	120
11166	0	467	116
11167	0	472	114
11168	0	563	106
11169	0	593	101
11170	0	575	115
11171	0	585	103
11172	0	590	115
11173	0	571	109
11174	0	587	101
11175	0	563	110
11176	0	577	107
11177	0	585	99
11178	0	587	110
11179	0	577	108
11180	0	583	108
11181	0	586	105
11182	0	491	96
11183	0	457	103
11184	0	465	117
11185	0	458	118
11186	0	468	122
11187	0	457	115
11188	0	454	116
11189	0	454	118
11190	0	460	120
11191	0	466	120
11192	0	464	120
11193	0	461	122
11194	0	454	119
11195	0	458	126
11196	0	436	155
11197	0	451	162
11198	0	457	161
11199	0	451	177
11200	0	444	175
11201	0	421	165
11202	0	422	168
11203	0	433	171
11204	0	421	173
11205	0	424	169
11206	0	402	181
11207	0	414	190
11208	0	408	190
11209	0	415	188
11210	0	-1	-1
11211	0	-1	-1
11212	0	455	124
11213	0	453	123
11214	0	460	125
11215	0	459	123
11216	0	463	128
11217	0	439	152
11218	0	409	167
11219	0	400	170
11220	0	403	173
11221	0	403	171
11222	0	393	178
11223	0	403	171
11224	0	397	178
11225	0	410	181
11226	0	418	184
11227	0	419	166
11228	0	411	188
11229	0	407	182
11230	0	453	161
11231	0	-1	-1
11232	0	454	117
11233	0	453	123
11234	0	447	129
11235	0	454	128
11236	0	456	123
11237	0	461	129
11238	0	454	132
11239	0	451	127
11240	0	452	125
11241	0	462	128
11242	0	452	127
11243	0	452	127
11244	0	451	127
11245	0	454	126
11246	0	457	126
11247	0	455	126
11248	0	454	129
11249	0	456	126
11250	0	494	123
11251	0	557	114
11252	0	573	113
11253	0	564	112
11254	0	567	106
11255	0	582	109
11256	0	578	111
11257	0	592	112
11258	0	584	111
11259	0	571	107
11260	0	-1	-1
11261	0	457	112
11262	0	448	122
11263	0	449	127
11264	0	446	128
11265	0	444	125
11266	0	452	127
11267	0	444	128
11268	0	446	127
11269	0	444	126
11270	0	446	123
11271	0	444	126
11272	0	445	124
11273	0	445	122
11274	0	448	126
11275	0	436	117
11276	0	479	118
11277	0	457	119
11278	0	439	123
11279	0	437	126
11280	0	448	124
11281	0	443	126
11282	0	444	125
11283	0	455	130
11284	0	447	129
11285	0	453	126
11286	0	446	127
11287	0	453	127
11288	0	451	123
11289	0	443	130
11290	0	450	123
11291	0	445	125
11292	0	447	123
11293	0	444	124
11294	0	444	125
11295	0	438	128
11296	0	441	130
11297	0	446	125
11298	0	446	124
11299	0	447	128
11300	0	448	131
11301	0	448	125
11302	0	453	126
11303	0	515	111
11304	0	580	111
11305	0	580	111
11306	0	585	112
11307	0	591	110
11308	0	590	110
11309	0	588	111
11310	0	588	108
11311	0	585	107
11312	0	584	108
11313	0	582	102
11314	0	580	102
11315	0	587	110
11316	0	549	107
11317	0	504	99
11318	0	429	116
11319	0	441	117
11320	0	443	121
11321	0	450	125
11322	0	441	124
11323	0	455	126
11324	0	447	128
11325	0	454	128
11326	0	454	128
11327	0	460	130
11328	0	454	128
11329	0	453	127
11330	0	456	129
11331	0	454	129
11332	0	455	131
11333	0	455	129
11334	0	458	128
11335	0	454	128
11336	0	453	121
11337	0	411	107
11338	0	407	115
11339	0	443	124
11340	0	447	126
11341	0	446	126
11342	0	445	126
11343	0	450	124
11344	0	451	127
11345	0	453	128
11346	0	462	130
11347	0	445	124
11348	0	449	127
11349	0	452	130
11350	0	467	125
11351	0	536	113
11352	0	587	117
11353	0	587	117
11354	0	592	112
11355	0	586	112
11356	0	585	114
11357	0	585	111
11358	0	595	111
11359	0	582	113
11360	0	590	112
11361	0	583	109
11362	0	588	106
11363	0	571	110
11364	0	556	111
11365	0	526	116
11366	0	-1	-1
11367	0	436	115
11368	0	445	121
11369	0	450	122
11370	0	446	127
11371	0	452	124
11372	0	509	114
11373	0	584	108
11374	0	582	110
11375	0	586	109
11376	0	585	109
11377	0	578	109
11378	0	581	108
11379	0	584	110
11380	0	582	109
11381	0	576	107
11382	0	581	106
11383	0	573	110
11384	0	577	110
11385	0	567	109
11386	0	532	102
11387	0	456	118
11388	0	442	122
11389	0	448	123
11390	0	441	123
11391	0	445	126
11392	0	446	125
11393	0	448	129
11394	0	446	125
11395	0	453	129
11396	0	447	128
11397	0	448	128
11398	0	447	126
11399	0	455	129
11400	0	446	127
11401	0	453	151
11402	0	462	155
11403	0	457	155
11404	0	467	155
11405	0	505	132
11406	0	548	109
11407	0	558	107
11408	0	578	117
11409	0	581	121
11410	0	587	117
11411	0	587	110
11412	0	584	107
11413	0	579	105
11414	0	580	108
11415	0	588	107
11416	0	583	107
11417	0	512	106
11418	0	453	107
11419	0	458	117
11420	0	453	123
11421	0	463	123
11422	0	453	126
11423	0	457	127
11424	0	457	125
11425	0	453	131
11426	0	456	130
11427	0	459	130
11428	0	455	125
11429	0	464	126
11430	0	458	131
11431	0	454	128
11432	0	455	123
11433	0	487	124
11434	0	553	110
11435	0	591	110
11436	0	586	107
11437	0	578	110
11438	0	574	105
11439	0	582	107
11440	0	583	106
11441	0	577	108
11442	0	584	103
11443	0	583	105
11444	0	584	103
11445	0	578	111
11446	0	577	108
11447	0	504	100
11448	0	-1	-1
11449	0	428	113
11450	0	428	120
11451	0	452	125
11452	0	456	128
11453	0	450	131
11454	0	454	127
11455	0	458	126
11456	0	463	130
11457	0	462	131
11458	0	458	128
11459	0	455	128
11460	0	460	132
11461	0	451	124
11462	0	443	129
11463	0	447	129
11464	0	447	130
11465	0	443	128
11466	0	450	126
11467	0	429	117
11468	0	-1	-1
11469	0	441	121
11470	0	452	130
11471	0	447	129
11472	0	456	129
11473	0	452	128
11474	0	462	129
11475	0	499	114
11476	0	575	107
11477	0	609	107
11478	0	592	109
11479	0	601	104
11480	0	597	110
11481	0	595	112
11482	0	590	113
11483	0	590	115
11484	0	592	112
11485	0	584	108
11486	0	594	110
11487	0	594	108
11488	0	569	100
11489	0	530	99
11490	0	447	119
11491	0	449	123
11492	0	446	123
11493	0	451	128
11494	0	454	124
11495	0	450	129
11496	0	456	129
11497	0	447	127
11498	0	449	126
11499	0	450	131
11500	0	448	127
11501	0	451	127
11502	0	447	132
11503	0	420	141
11504	0	364	148
11505	0	367	164
11506	0	368	159
11507	0	369	149
11508	0	329	158
11509	0	380	153
11510	0	310	166
11511	0	340	158
11512	0	369	151
11513	0	369	156
11514	0	347	157
11515	0	328	160
11516	0	333	167
11517	0	326	163
11518	0	345	158
11519	0	330	149
11520	0	335	146
11521	0	328	154
11522	0	332	168
11523	0	397	152
11524	0	445	151
11525	0	457	159
11526	0	462	169
11527	0	449	154
11528	0	458	165
11529	0	453	176
11530	0	451	177
11531	0	458	180
11532	0	445	163
11533	0	447	164
11534	0	463	174
11535	0	445	135
11536	0	448	127
11537	0	467	134
11538	0	469	136
11539	0	471	133
11540	0	481	134
11541	0	482	138
11542	0	480	143
11543	0	479	136
11544	0	476	126
